partido,localidad,usuarios
ALMIRANTE BROWN,ADROGUE,82
ALMIRANTE BROWN,BURZACO,35
ALMIRANTE BROWN,GLEW,12
AVELLANEDA,SARANDI,88
BERAZATEGUI,BERAZATEGUI,8
CAPITAL,BALVANERA,147
CAPITAL,CABALLITO,87
CAPITAL,CAPITAL,146
CAPITAL,LA BOCA,179
CAPITAL,MONSERRAT,28
CAPITAL,MONTE CASTRO,33
CAPITAL,PARQUE PATRICIOS,71
CAPITAL,RECOLETA,79
CAPITAL,RETIRO,14
CAPITAL,SAN CRISTOBAL,9
CAPITAL,SAN NICOLAS,13
CAPITAL,VILLA DEL PARQUE,63
ESTEBAN ECHEVERRIA,MONTE GRANDE,103
LANUS,GERLI,78
LANUS,MONTE CHINGOLO,96
LANUS,REMEDIOS DE ESCALADA,147
LOMAS DE ZAMORA,LOMAS DE ZAMORA,85
LOMAS DE ZAMORA,VILLA CENTENARIO,58
