,Provincia,FORMULAS - AGRUPACIONES    POLITICAS,VOTOS,%
0,CAPITAL FEDERAL,FERNANDEZ DE    KIRCHNER - BOUDOU (ALIANZA FRENTE PARA LA VICTORIA),660275,0.35109999999999997
1,CAPITAL FEDERAL,BINNER -    MORANDINI (ALIANZA FRENTE AMPLIO PROGRESISTA),522979,0.2781
2,CAPITAL FEDERAL,DUHALDE - DAS    NEVES (ALIANZA FRENTE POPULAR),192503,0.1024
3,CAPITAL FEDERAL,RODRIGUEZ SAA    - VERNET (ALIANZA COMPROMISO FEDERAL),185114,0.0984
4,CAPITAL FEDERAL,ALFONSIN -    GONZALEZ FRAGA (ALIANZA UNION PARA EL DESARROLLO SOCIAL),177720,0.09449999999999999
5,CAPITAL FEDERAL,CARRIO - PEREZ    (COALICION CIVICA - AFIRMACION PARA UNA REPUBLICA IGUALITARIA),80807,0.043
6,CAPITAL FEDERAL,ALTAMIRA-    CASTILLO (ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES),61145,0.0325
7,BUENOS AIRES,FERNANDEZ DE KIRCHNER - BOUDOU (ALIANZA FRENTE PARA LA VICTORIA),4841169,0.5643
8,BUENOS AIRES,BINNER - MORANDINI (ALIANZA FRENTE AMPLIO PROGRESISTA),1280857,0.1493
9,BUENOS AIRES,ALFONSIN - GONZALEZ FRAGA (ALIANZA UNION PARA EL DESARROLLO SOCIAL),830991,0.0969
10,BUENOS AIRES,RODRIGUEZ SAA - VERNET (ALIANZA COMPROMISO FEDERAL),629129,0.0733
11,BUENOS AIRES,DUHALDE - DAS NEVES (ALIANZA FRENTE POPULAR),612907,0.07139999999999999
12,BUENOS AIRES,ALTAMIRA- CASTILLO (ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES),234965,0.0274
13,BUENOS AIRES,CARRIO - PEREZ (COALICION CIVICA - AFIRMACION PARA UNA REPUBLICA    IGUALITARIA),149595,0.0174
14,CATAMARCA,FERNANDEZ DE KIRCHNER - BOUDOU (ALIANZA FRENTE PARA LA VICTORIA),133306,0.6979000000000001
15,CATAMARCA,ALFONSIN - GONZALEZ FRAGA (ALIANZA UNION PARA EL DESARROLLO SOCIAL),34229,0.17920000000000003
16,CATAMARCA,BINNER - MORANDINI (ALIANZA FRENTE AMPLIO PROGRESISTA),9819,0.051399999999999994
17,CATAMARCA,DUHALDE - DAS NEVES (ALIANZA FRENTE POPULAR),5117,0.0268
18,CATAMARCA,RODRIGUEZ SAA - VERNET (ALIANZA COMPROMISO FEDERAL),3343,0.0175
19,CATAMARCA,ALTAMIRA - CASTILLO (ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES),2912,0.0152
20,CATAMARCA,CARRIO - PEREZ (COALICION CIVICA - AFIRMACION PARA UNA REPUBLICA    IGUALITARIA),2287,0.012
21,CHACO,FERNANDEZ DE KIRCHNER - BOUDOU (ALIANZA FRENTE PARA LA VICTORIA),368884,0.6524
22,CHACO,ALFONSIN - GONZALEZ FRAGA (ALIANZA UNION PARA EL DESARROLLO SOCIAL),100093,0.177
23,CHACO,BINNER - MORANDINI (ALIANZA FRENTE AMPLIO PROGRESISTA),40601,0.0718
24,CHACO,DUHALDE - DAS NEVES (ALIANZA FRENTE POPULAR),23475,0.0415
25,CHACO,RODRIGUEZ SAA - VERNET (ALIANZA COMPROMISO FEDERAL),17024,0.0301
26,CHACO,CARRIO - PEREZ (COALICION CIVICA - AFIRMACION PARA UNA REPUBLICA    IGUALITARIA),10949,0.0194
27,CHACO,ALTAMIRA- CASTILLO (ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES),4411,0.0078000000000000005
28,CHUBUT,FERNANDEZ DE    KIRCHNER - BOUDOU (ALIANZA FRENTE PARA LA VICTORIA),165080,0.5982
29,CHUBUT,DUHALDE - DAS    NEVES (ALIANZA FRENTE POPULAR),45335,0.1643
30,CHUBUT,ALFONSIN -    GONZALEZ FRAGA (ALIANZA UNION PARA EL DESARROLLO SOCIAL),26603,0.0964
31,CHUBUT,BINNER -    MORANDINI (ALIANZA FRENTE AMPLIO PROGRESISTA),21231,0.07690000000000001
32,CHUBUT,RODRIGUEZ SAA    - VERNET (ALIANZA COMPROMISO FEDERAL),8378,0.0304
33,CHUBUT,ALTAMIRA - CASTILLO (ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES),5170,0.0187
34,CHUBUT,CARRIO - PEREZ    (COALICION CIVICA - AFIRMACION PARA UNA REPUBLICA IGUALITARIA),4186,0.0152
35,CORDOBA,FERNANDEZ DE KIRCHNER - BOUDOU (ALIANZA FRENTE PARA LA VICTORIA),689271,0.3729
36,CORDOBA,BINNER - MORANDINI (ALIANZA FRENTE AMPLIO PROGRESISTA),432351,0.2339
37,CORDOBA,ALFONSIN - GONZALEZ FRAGA (ALIANZA UNION PARA EL DESARROLLO SOCIAL),332760,0.18
38,CORDOBA,RODRIGUEZ SAA - VERNET (ALIANZA COMPROMISO FEDERAL),226817,0.12269999999999999
39,CORDOBA,DUHALDE - DAS NEVES (ALIANZA FRENTE POPULAR),84876,0.045899999999999996
40,CORDOBA,ALTAMIRA - CASTILLO (ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES),52628,0.0285
41,CORDOBA,CARRIO - PEREZ (COALICION CIVICA - AFIRMACION PARA UNA REPUBLICA    IGUALITARIA),29588,0.016
42,CORRIENTES,FERNANDEZ DE KIRCHNER - BOUDOU (ALIANZA FRENTE PARA LA VICTORIA),342284,0.6804000000000001
43,CORRIENTES,ALFONSIN - GONZALEZ FRAGA (ALIANZA UNION PARA EL DESARROLLO SOCIAL),64889,0.129
44,CORRIENTES,BINNER - MORANDINI (ALIANZA FRENTE AMPLIO PROGRESISTA),36209,0.07200000000000001
45,CORRIENTES,DUHALDE - DAS NEVES (ALIANZA FRENTE POPULAR),23223,0.0462
46,CORRIENTES,RODRIGUEZ SAA - VERNET (ALIANZA COMPROMISO FEDERAL),20305,0.0404
47,CORRIENTES,CARRIO - PEREZ (COALICION CIVICA - AFIRMACION PARA UNA REPUBLICA    IGUALITARIA),11896,0.0236
48,CORRIENTES,ALTAMIRA - CASTILLO (ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES),4286,0.0085
49,ENTRE RIOS,FERNANDEZ DE    KIRCHNER - BOUDOU (ALIANZA FRENTE PARA LA VICTORIA),367427,0.5463
50,ENTRE RIOS,BINNER -    MORANDINI (ALIANZA FRENTE AMPLIO PROGRESISTA),137351,0.20420000000000002
51,ENTRE RIOS,ALFONSIN -    GONZALEZ FRAGA (ALIANZA UNION PARA EL DESARROLLO SOCIAL),97285,0.1446
52,ENTRE RIOS,DUHALDE - DAS    NEVES (ALIANZA FRENTE POPULAR),29360,0.0437
