,Provincia,FORMULAS - AGRUPACIONES    POLITICAS,VOTOS,%
0,CAPITAL FEDERAL,"DE LA RUA -    ALVAREZ (ALIANZA PARA EL TRABAJO, LA JUSTICIA Y LA EDUCACION)",1077769,0.5434
1,CAPITAL FEDERAL,DUHALDE - ORTEGA (ALIANZA CONCERTACION JUSTICIALISTA PARA EL    CAMBIO - ALIANZA FRENTE DE INTEGRACION FEDERAL - UNION DEL CENTRO DEMOCRATICO),467068,0.23550000000000001
2,CAPITAL FEDERAL,CAVALLO - CARO    FIGUEROA (ACCION POR LA REPUBLICA),322718,0.16269999999999998
3,CAPITAL FEDERAL,WALSH - DE    LEONARDI (ALIANZA IZQUIERDA UNIDA),32776,0.0165
4,CAPITAL FEDERAL,MENDEZ -    POMPEI (HUMANISTA),29934,0.0151
5,CAPITAL FEDERAL,ALTAMIRA -    RIEZNIK (OBRERO),20220,0.0102
6,CAPITAL FEDERAL,QUARRACINO -    REARTE (SOCIALISTA AUTENTICO),14675,0.0074
7,CAPITAL FEDERAL,REYNA - MOCCIA    (FRENTE DE LA RESISTENCIA),7453,0.0038
8,CAPITAL FEDERAL,MONTES -    HERNANDEZ (DE LOS TRABAJADORES SOCIALISTAS),7265,0.0037
9,CAPITAL FEDERAL,MUSSA -    HERRERA (ALIANZA SOCIAL CRISTIANA),3369,0.0017000000000000001
10,BUENOS AIRES,"DE LA RUA - ALVAREZ (ALIANZA PARA EL TRABAJO, LA JUSTICIA Y LA    EDUCACION)",3236791,0.4447
11,BUENOS AIRES,DUHALDE - ORTEGA (ALIANZA CONCERTACION JUSTICIALISTA PARA EL    CAMBIO - UNION DEL CENTRO DEMOCRATICO),3115966,0.42810000000000004
12,BUENOS AIRES,CAVALLO - CARO FIGUEROA (ACCION POR LA REPUBLICA),670609,0.09210000000000002
13,BUENOS AIRES,WALSH - DE LEONARDI (ALIANZA IZQUIERDA UNIDA),65414,0.009000000000000001
14,BUENOS AIRES,MENDEZ - POMPEI (HUMANISTA),54969,0.0076
15,BUENOS AIRES,ALTAMIRA - RIEZNIK (OBRERO),49750,0.0068000000000000005
