municipio_nombre_largo,jurisdiccion_tipo,municipio_nombre,autoridad_fuente,municipio_id
Comisión Municipal Santa Catalina,Comisión Municipal,Santa Catalina,Direc. Grl. de Inmuebles,386147
Comisión Municipal Cieneguillas,Comisión Municipal,Cieneguillas,Direc. Grl. de Inmuebles,386133
Municipio La Quiaca,Municipio,La Quiaca,Direc. Grl. de Inmuebles,380406
Comisión Municipal Cusi Cusi,Comisión Municipal,Cusi Cusi,Direc. Grl. de Inmuebles,386140
Comisión Municipal Yavi,Comisión Municipal,Yavi,Direc. Grl. de Inmuebles,386273
Comisión Municipal Pumahuasi,Comisión Municipal,Pumahuasi,Direc. Grl. de Inmuebles,386266
Comisión Municipal Barrios,Comisión Municipal,Barrios,Direc. Grl. de Inmuebles,386245
Comisión Municipal Rinconada,Comisión Municipal,Rinconada,Direc. Grl. de Inmuebles,386077
Comisión Municipal El Cóndor,Comisión Municipal,El Cóndor,Direc. Grl. de Inmuebles,386259
Comisión Municipal Mina Pirquitas,Comisión Municipal,Mina Pirquitas,Direc. Grl. de Inmuebles,386070
Comisión Municipal Cangrejillos,Comisión Municipal,Cangrejillos,Direc. Grl. de Inmuebles,386252
Comisión Municipal Puesto del  Marqués,Comisión Municipal,Puesto del  Marqués,Direc. Grl. de Inmuebles,386021
Comisión Municipal Hipólito Yrigoyen,Comisión Municipal,Hipólito Yrigoyen,Direc. Grl. de Inmuebles,386056
Municipio Abra Pampa,Municipio,Abra Pampa,Direc. Grl. de Inmuebles,380014
Comisión Municipal Tres Cruces,Comisión Municipal,Tres Cruces,Direc. Grl. de Inmuebles,386063
Comisión Municipal Abralaite,Comisión Municipal,Abralaite,Direc. Grl. de Inmuebles,386014
Municipio Humahuaca,Municipio,Humahuaca,Direc. Grl. de Inmuebles,380105
Comisión Municipal Abdón Castro Tolay,Comisión Municipal,Abdón Castro Tolay,Direc. Grl. de Inmuebles,386007
Comisión Municipal Coranzuli,Comisión Municipal,Coranzuli,Direc. Grl. de Inmuebles,386161
Municipio El Aguilar,Municipio,El Aguilar,Direc. Grl. de Inmuebles,380091
Comisión Municipal Susques,Comisión Municipal,Susques,Direc. Grl. de Inmuebles,386168
Comisión Municipal Caspalá,Comisión Municipal,Caspalá,Direc. Grl. de Inmuebles,386210
Comisión Municipal Santa Ana,Comisión Municipal,Santa Ana,Direc. Grl. de Inmuebles,386231
